Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
12590,0.28,0.02,0.04,0.04,0.21,0.02,0.02,0.01,0.05,0.06,0.02,0.02,1
12591,0.22,0.13,0.06,0.02,0.08,0.08,0.03,0.02,0.03,0.05,0.02,0.05,1
12592,0.02,0.04,0.11,0.02,0.21,0.1,0.03,0.02,0.02,0.1,0.02,0.03,6
12593,0.39,0.05,0.01,0.01,0.02,0.02,0.01,0.02,0.07,0.04,0.01,0.01,1
12594,0.27,0.04,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.03,0.01,16
12595,0.46,0.1,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.05,0.02,0.02,1
12596,0.02,0.02,0.14,0.01,0.14,0.03,0.02,0.02,0.04,0.01,0.01,0.08,16
12597,0.04,0.03,0.04,0.02,0.04,0.15,0.03,0.02,0.16,0.02,0.03,0.02,16
12598,0.02,0.04,0.15,0.01,0.02,0.02,0.02,0.02,0.11,0.03,0.03,0.02,16
12599,0.06,0.02,0.02,0.02,0.15,0.03,0.03,0.02,0.03,0.04,0.02,0.07,16
12600,0.42,0.02,0.02,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.04,1
12601,0.12,0.05,0.06,0.03,0.07,0.09,0.07,0.04,0.09,0.03,0.06,0.04,1
12602,0.14,0.01,0.08,0.02,0.13,0.08,0.03,0.02,0.07,0.02,0.04,0.01,1
12603,0.09,0.04,0.07,0.02,0.04,0.07,0.02,0.01,0.04,0.08,0.02,0.04,16
12604,0.04,0.08,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,16
12605,0.01,0.02,0.0,0.0,0.08,0.01,0.0,0.0,0.01,0.01,0.0,0.04,16
12606,0.14,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.06,0.03,0.03,0.03,16
12607,0.21,0.06,0.14,0.0,0.07,0.0,0.01,0.0,0.07,0.02,0.01,0.02,16
12608,0.19,0.08,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.04,0.02,0.08,16
12609,0.05,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.25,0.04,0.04,14
12610,0.65,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.01,1
12611,0.12,0.03,0.03,0.02,0.05,0.03,0.03,0.03,0.03,0.05,0.05,0.07,16
12612,0.09,0.1,0.07,0.02,0.03,0.02,0.02,0.03,0.02,0.07,0.02,0.02,16
12613,0.03,0.01,0.06,0.01,0.22,0.02,0.06,0.01,0.11,0.07,0.02,0.01,16
12614,0.03,0.04,0.02,0.02,0.11,0.01,0.01,0.07,0.01,0.04,0.01,0.04,16
12615,0.29,0.03,0.05,0.02,0.02,0.05,0.03,0.02,0.05,0.06,0.02,0.07,1
12616,0.03,0.02,0.06,0.02,0.06,0.07,0.03,0.02,0.06,0.02,0.03,0.07,16
12617,0.13,0.06,0.02,0.02,0.02,0.33,0.02,0.02,0.02,0.11,0.01,0.02,9
12618,0.11,0.04,0.02,0.01,0.12,0.03,0.06,0.04,0.02,0.01,0.01,0.01,16
12619,0.08,0.02,0.01,0.01,0.02,0.03,0.07,0.05,0.01,0.07,0.01,0.03,16
12620,0.06,0.01,0.05,0.01,0.11,0.01,0.01,0.01,0.01,0.03,0.01,0.01,16
12621,0.16,0.02,0.03,0.02,0.08,0.03,0.03,0.02,0.03,0.08,0.02,0.03,16
12622,0.08,0.1,0.25,0.02,0.05,0.03,0.02,0.03,0.04,0.02,0.02,0.02,3
12623,0.13,0.14,0.05,0.01,0.07,0.05,0.01,0.01,0.04,0.03,0.01,0.02,16
12624,0.08,0.07,0.01,0.01,0.04,0.06,0.02,0.03,0.03,0.06,0.01,0.01,16
12625,0.18,0.02,0.11,0.04,0.07,0.02,0.02,0.02,0.03,0.07,0.02,0.05,16
12626,0.12,0.04,0.01,0.01,0.08,0.02,0.01,0.01,0.06,0.05,0.01,0.01,16
12627,0.18,0.04,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.02,16
12628,0.1,0.04,0.18,0.02,0.07,0.05,0.03,0.03,0.03,0.04,0.03,0.02,16
12629,0.16,0.02,0.02,0.02,0.12,0.02,0.18,0.02,0.2,0.04,0.02,0.05,13
12630,0.3,0.02,0.03,0.01,0.05,0.02,0.15,0.02,0.17,0.04,0.06,0.01,1
12631,0.07,0.04,0.02,0.02,0.2,0.02,0.22,0.03,0.02,0.02,0.03,0.07,11
12632,0.02,0.02,0.06,0.02,0.17,0.03,0.15,0.03,0.1,0.17,0.02,0.02,6
12633,0.21,0.09,0.08,0.02,0.1,0.03,0.07,0.02,0.02,0.13,0.02,0.02,1
12634,0.22,0.02,0.03,0.02,0.03,0.02,0.11,0.04,0.2,0.03,0.02,0.05,1
12635,0.18,0.02,0.15,0.02,0.08,0.03,0.15,0.03,0.05,0.02,0.02,0.04,1
12636,0.07,0.02,0.01,0.01,0.14,0.01,0.3,0.01,0.13,0.01,0.01,0.03,11
12637,0.29,0.04,0.02,0.02,0.03,0.02,0.02,0.03,0.08,0.14,0.02,0.02,1
