Unnamed: 0,1: Halo 2,2: Limited Editions,3: Madden,8: Controller,9: Kinect,Dom_Topic
27919,0.85,0.03,0.03,0.02,0.01,1
27921,0.26,0.19,0.08,0.15,0.06,1
27922,0.72,0.05,0.04,0.03,0.03,1
27923,0.16,0.41,0.09,0.09,0.04,2
27925,0.84,0.02,0.02,0.03,0.02,1
27926,0.86,0.02,0.02,0.03,0.01,1
27927,0.59,0.05,0.05,0.13,0.03,1
27928,0.23,0.64,0.02,0.02,0.01,2
27929,0.13,0.44,0.07,0.07,0.05,2
27931,0.14,0.08,0.13,0.21,0.07,8
27932,0.93,0.01,0.01,0.01,0.01,1
27933,0.19,0.5,0.06,0.05,0.03,2
27934,0.1,0.33,0.09,0.11,0.06,2
27936,0.89,0.02,0.02,0.02,0.01,1
27937,0.5,0.04,0.1,0.07,0.04,1
27939,0.78,0.06,0.03,0.02,0.02,1
27940,0.73,0.02,0.06,0.05,0.02,1
27941,0.61,0.06,0.06,0.04,0.04,1
27942,0.28,0.36,0.07,0.05,0.04,2
27944,0.02,0.91,0.01,0.01,0.01,2
27945,0.92,0.01,0.01,0.02,0.01,1
27946,0.89,0.01,0.02,0.01,0.01,1
27947,0.88,0.03,0.01,0.01,0.01,1
27948,0.96,0.01,0.0,0.01,0.0,1
27949,0.66,0.04,0.06,0.04,0.03,1
27951,0.17,0.08,0.14,0.1,0.08,1
27952,0.58,0.04,0.08,0.06,0.04,1
27953,0.97,0.0,0.0,0.0,0.0,1
27954,0.93,0.02,0.01,0.01,0.01,1
27955,0.42,0.12,0.08,0.11,0.04,1
27956,0.87,0.04,0.01,0.01,0.01,1
27958,0.93,0.01,0.01,0.01,0.01,1
27959,0.15,0.35,0.12,0.09,0.05,2
27961,0.54,0.29,0.05,0.03,0.02,1
27962,0.92,0.01,0.01,0.02,0.01,1
27963,0.47,0.21,0.06,0.05,0.03,1
27964,0.63,0.06,0.05,0.03,0.04,1
27965,0.62,0.04,0.06,0.07,0.03,1
27966,0.16,0.27,0.07,0.19,0.05,2
27969,0.24,0.17,0.1,0.09,0.08,1
27970,0.07,0.36,0.07,0.13,0.06,2
27971,0.75,0.02,0.05,0.09,0.02,1
27972,0.93,0.01,0.01,0.01,0.01,1
27973,0.78,0.03,0.03,0.05,0.02,1
27975,0.74,0.03,0.04,0.03,0.02,1
27976,0.87,0.02,0.02,0.02,0.01,1
27977,0.78,0.03,0.03,0.03,0.02,1
27979,0.85,0.03,0.03,0.02,0.01,1
27981,0.26,0.19,0.08,0.15,0.06,1
27982,0.72,0.05,0.04,0.03,0.03,1
27983,0.16,0.41,0.09,0.09,0.04,2
27985,0.84,0.02,0.02,0.03,0.02,1
27986,0.86,0.02,0.02,0.03,0.01,1
27987,0.59,0.05,0.05,0.13,0.03,1
