Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5557,0.03,0.37,0.03,0.03,0.03,2
5558,0.01,0.8,0.01,0.01,0.02,2
5559,0.02,0.32,0.02,0.02,0.26,2
5560,0.03,0.45,0.03,0.03,0.03,2
5561,0.03,0.4,0.03,0.05,0.12,2
5562,0.03,0.46,0.02,0.03,0.03,2
5563,0.03,0.33,0.04,0.03,0.12,2
5564,0.01,0.55,0.01,0.01,0.26,2
5565,0.02,0.08,0.03,0.02,0.52,12
5566,0.02,0.64,0.02,0.02,0.08,2
5567,0.02,0.67,0.05,0.02,0.01,2
5568,0.02,0.47,0.02,0.02,0.22,2
5569,0.04,0.27,0.04,0.04,0.05,2
5570,0.01,0.69,0.01,0.01,0.18,2
5571,0.03,0.31,0.03,0.03,0.12,2
5572,0.03,0.09,0.03,0.03,0.44,12
5573,0.01,0.67,0.01,0.01,0.1,2
5574,0.01,0.45,0.02,0.01,0.43,2
5575,0.01,0.33,0.01,0.03,0.4,12
5576,0.03,0.36,0.03,0.03,0.16,2
5577,0.04,0.16,0.11,0.05,0.05,2
5578,0.04,0.06,0.04,0.04,0.23,12
5579,0.04,0.06,0.04,0.04,0.21,12
5580,0.04,0.21,0.04,0.04,0.04,2
5581,0.04,0.18,0.06,0.04,0.04,2
5582,0.03,0.39,0.03,0.03,0.05,2
5583,0.04,0.32,0.04,0.03,0.04,2
5584,0.04,0.26,0.04,0.04,0.04,2
5585,0.03,0.31,0.03,0.03,0.15,2
5586,0.03,0.23,0.05,0.03,0.21,2
5587,0.03,0.48,0.03,0.04,0.04,2
5588,0.04,0.26,0.04,0.04,0.1,2
5589,0.04,0.29,0.04,0.04,0.06,2
5590,0.01,0.75,0.01,0.01,0.05,2
5591,0.02,0.27,0.02,0.02,0.45,12
5592,0.03,0.42,0.03,0.03,0.05,2
5593,0.04,0.21,0.04,0.04,0.05,2
5594,0.02,0.54,0.04,0.03,0.02,2
5595,0.05,0.07,0.05,0.05,0.05,2
5596,0.01,0.65,0.02,0.01,0.08,2
5597,0.02,0.58,0.03,0.02,0.03,2
5598,0.01,0.58,0.01,0.01,0.17,2
5599,0.02,0.36,0.02,0.02,0.33,2
5600,0.04,0.04,0.04,0.04,0.2,12
5601,0.03,0.36,0.03,0.03,0.04,2
5602,0.04,0.09,0.11,0.12,0.12,8
5603,0.02,0.56,0.02,0.02,0.04,2
5604,0.04,0.22,0.04,0.04,0.11,2
5605,0.03,0.38,0.03,0.03,0.04,2
5606,0.02,0.69,0.02,0.02,0.02,2
5607,0.04,0.14,0.04,0.04,0.1,2
5608,0.03,0.26,0.03,0.03,0.15,2
5609,0.03,0.42,0.03,0.04,0.03,2
5610,0.04,0.13,0.04,0.04,0.21,12
5611,0.01,0.65,0.03,0.02,0.08,2
5612,0.02,0.4,0.14,0.03,0.08,2
5613,0.02,0.28,0.02,0.02,0.36,12
5614,0.04,0.14,0.04,0.04,0.15,12
5615,0.02,0.51,0.02,0.02,0.09,2
5616,0.02,0.43,0.02,0.02,0.26,2
5617,0.03,0.46,0.03,0.03,0.05,2
5618,0.03,0.29,0.03,0.03,0.09,2
5619,0.03,0.06,0.03,0.03,0.36,12
5620,0.03,0.19,0.05,0.03,0.23,12
5621,0.02,0.49,0.07,0.02,0.06,2
5622,0.01,0.25,0.02,0.02,0.49,12
5623,0.05,0.05,0.05,0.05,0.13,12
5624,0.03,0.48,0.05,0.03,0.04,2
5625,0.03,0.4,0.03,0.03,0.11,2
5626,0.03,0.15,0.03,0.03,0.35,12
5627,0.01,0.79,0.01,0.01,0.03,2
5628,0.04,0.15,0.04,0.04,0.1,2
5629,0.02,0.62,0.02,0.02,0.07,2
5630,0.02,0.4,0.02,0.02,0.23,2
5631,0.04,0.31,0.04,0.05,0.03,2
5632,0.03,0.13,0.03,0.03,0.31,12
5633,0.03,0.3,0.03,0.03,0.21,2
5634,0.02,0.44,0.02,0.02,0.14,2
5635,0.02,0.34,0.02,0.02,0.27,2
5636,0.03,0.27,0.03,0.03,0.12,2
5637,0.01,0.47,0.01,0.01,0.35,2
5638,0.01,0.37,0.01,0.01,0.42,12
5639,0.03,0.38,0.03,0.05,0.09,2
5640,0.03,0.31,0.03,0.03,0.23,2
5641,0.01,0.66,0.01,0.01,0.11,2
5642,0.02,0.3,0.02,0.02,0.35,12
5643,0.02,0.63,0.02,0.02,0.02,2
5644,0.02,0.67,0.02,0.02,0.02,2
5645,0.01,0.29,0.01,0.03,0.52,12
5646,0.01,0.45,0.01,0.01,0.29,2
5647,0.03,0.2,0.03,0.03,0.22,12
5648,0.02,0.4,0.02,0.02,0.31,2
5649,0.04,0.16,0.03,0.04,0.17,12
5650,0.01,0.77,0.03,0.01,0.04,2
5651,0.03,0.23,0.03,0.03,0.27,12
5652,0.04,0.04,0.04,0.04,0.16,12
5653,0.01,0.72,0.01,0.01,0.09,2
