Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
11741,0.02,0.03,0.13,0.19,0.02,0.02,0.1,0.02,0.02,0.02,0.06,0.08,0.02,0.02,0.1,0.02,0.04,0.04,0.03
11742,0.02,0.35,0.03,0.02,0.04,0.01,0.08,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.05,0.02,0.25,0.01,0.01
11743,0.02,0.18,0.08,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.04,0.09,0.06,0.01,0.2,0.02,0.13,0.01,0.02
11744,0.03,0.19,0.05,0.08,0.06,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.13,0.16,0.02,0.03,0.03,0.02
11745,0.03,0.07,0.08,0.03,0.02,0.02,0.06,0.01,0.01,0.09,0.02,0.02,0.06,0.01,0.06,0.03,0.34,0.01,0.03
11746,0.02,0.01,0.41,0.01,0.01,0.02,0.06,0.01,0.01,0.03,0.01,0.02,0.02,0.06,0.01,0.01,0.1,0.01,0.15
11747,0.09,0.08,0.05,0.05,0.02,0.02,0.27,0.01,0.01,0.03,0.02,0.01,0.01,0.03,0.03,0.02,0.17,0.08,0.03
11748,0.04,0.05,0.1,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.04,0.2,0.06,0.02,0.01,0.05,0.25,0.01,0.05
11749,0.01,0.28,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.06,0.01,0.01,0.03,0.01,0.5,0.01,0.01
11750,0.38,0.1,0.02,0.05,0.02,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.05,0.16,0.02,0.01
11751,0.05,0.28,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.07,0.02,0.02,0.11,0.02,0.02
11752,0.09,0.06,0.03,0.01,0.0,0.0,0.14,0.01,0.0,0.07,0.01,0.01,0.01,0.01,0.01,0.02,0.48,0.01,0.02
11753,0.01,0.07,0.01,0.06,0.01,0.01,0.33,0.02,0.01,0.03,0.01,0.1,0.01,0.05,0.02,0.03,0.2,0.01,0.01
11754,0.02,0.02,0.09,0.05,0.02,0.04,0.24,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.01,0.02,0.24,0.02,0.07
11755,0.03,0.02,0.13,0.07,0.04,0.02,0.1,0.02,0.02,0.04,0.02,0.03,0.02,0.03,0.11,0.02,0.17,0.02,0.07
11756,0.12,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0.2,0.07,0.02,0.17,0.06,0.1,0.02,0.02
11757,0.05,0.18,0.02,0.03,0.02,0.02,0.02,0.02,0.1,0.02,0.02,0.03,0.03,0.18,0.04,0.02,0.15,0.02,0.02
